,0
0,0.5293367346938775
1,0.004365776266370501
2,0.029580393159876064
3,0.17422047256948237
4,1.3581332977937193
5,0.7924329334375809
6,0.5173960864848021
7,0.001913265306122449
8,0.057088387255765954
9,1.4270827898717657
10,0.6559608752021984
11,0.03942849825383449
12,0.3551109506159413
13,0.0230305121869457
14,0.0813134677318514
15,0.19293634623897318
16,0.14535322724556438
17,23.093240640601334
18,3.485809948979592
19,1.1899652255043311
20,0.00206643031263838
21,0.0221738978003969
22,0.9447834150371502
23,0.9565813825940903
24,6.445330965579773
25,1.8828972755950324
26,0.6934950960686013
27,0.0012283287942409515
28,2.1179516656058177
29,0.9279852837932353
30,0.007842864993275429
31,0.003994788974523544
32,0.003946300672025097
33,0.046305966620542566
34,0.12557396587288502
35,4.5788794262524775
36,8.869579081632653
37,1.4669781744632187
38,0.0055551881692847424
39,0.0010188635514706982
40,0.0020114558235723146
41,0.010860602214590323
42,0.19372284959773628
43,0.037210141845541646
44,0.005251929468038131
45,0.10538449503329335
46,0.3914486303621409
47,0.37072604529711667
48,0.007999078351624158
49,0.06966151996534697
50,0.5290692908765406
51,0.034248341102989355
52,0.5545280612244898
53,0.34725765306122447
54,2.5093706535907194
55,0.03133397442953927
56,0.0033482142857142855
57,0.05208580347956443
58,1.154064847498524
59,2.8192810294579487
60,4.327168367346939
61,12.359942588955164
62,0.009175109211355448
63,0.008762240409851074
64,0.004986166954040527
65,0.009655909878867013
66,0.009994268564659417
67,0.007359184771396068
68,0.05712506707225527
69,0.004259195178747177
70,0.007371008396148682
71,0.009456682717427611
72,0.0047756482143791355
73,2.9714834884721406
74,2.308474966457912
75,5.43076350266228
76,19.808455288410187
77,6.015798223261931
78,2.3948957932238675
79,2.1619846687024955
80,23.590401785714285
81,0.551557302228781
82,0.01750707168759284
83,0.0
84,0.007327058029418089
85,0.061361259182116816
86,0.23245150839187662
87,1.1729035600259596
88,0.48733524575221293
89,0.1235407929183269
90,6.817505711271447
91,0.3455501648844505
92,3.3164572533296077
93,0.2670378332235375
94,0.004807889461517334
95,0.002975761890411377
96,0.011803869158029556
97,0.09519490903737593
98,0.5963520504990403
99,17.563132599908478
100,14.80522414616176
101,0.0015943877551020409
102,3.6941964285714284
103,0.005043377073443666
104,0.0020261406898498535
105,0.0068392349901247994
106,4.191160846729668
107,12.321825306026303
108,0.44021045918367346
109,7.643910350848217
110,0.0019164681434631348
111,0.004185080528259277
112,0.0042538545569595024
113,0.007982706537052077
114,0.00704503059387207
115,1.9470512137121083
116,5.980853545878615
117,0.7686679022652763
118,0.579589481256446
119,0.06769161443321073
120,1.7942132437031488
121,18.18783000415685
122,29.817896529119842
123,3.7277353336008225
124,0.007294859737157822
