"","etp_dsI"
"1",3.2850711339719
"2",2.58300103961529
"3",2.4233003395265
"4",2.59347693850413
"5",1.3398446053563
"6",1.12871518783853
"7",1.83382461336437
"8",1.90095839901676
"9",2.07381073068272
"10",3.3177559385051
"11",2.42760097170192
"12",2.41039844300023
"13",2.28464519842696
"14",2.09423873351597
"15",3.08643362304603
"16",4.46749200384944
"17",3.44235340415209
"18",3.73232423129753
"19",3.52406541548509
"20",3.93796612648558
"21",5.10316338613117
"22",3.48774896600376
"23",2.92647430405076
"24",5.16444739463092
"25",5.01029322199009
"26",4.20232851609235
"27",5.19508939888079
"28",1.9323860956833
"29",2.0051451749407
"30",2.65633233183721
"31",1.06313297964762
"32",1.36346027631317
"33",1.53938290253611
"34",1.99775332234144
"35",2.23842564346636
"36",2.30134463990717
"37",3.36120644891756
"38",3.28664030705923
"39",2.7733252865752
"40",4.72631007741804
"41",6.07439562182213
"42",4.64354612419276
"43",5.11949403120689
"44",4.94138600386611
"45",5.21760426055909
"46",4.88819636992667
"47",5.32294622022422
"48",4.9912335505515
"49",4.63177525084517
"50",6.35926126654226
"51",4.46109758730505
"52",6.70087408147696
"53",7.55146681675749
"54",6.63332030365554
"55",6.19546746196882
"56",4.78225850979832
"57",2.15499957861529
"58",4.51995195404302
"59",4.48463933400024
"60",2.04817890298587
"61",5.81564832150011
"62",6.80470495518991
"63",5.02157637887519
"64",7.94880549067669
"65",5.39640449684977
"66",5.96815745521705
"67",5.66479077596864
"68",5.45108239392725
"69",5.54283292091175
"70",7.13277233765479
"71",7.33338755666693
"72",6.15768906385161
"73",3.05578114869346
"74",5.72293362645569
"75",5.100088231089
"76",4.82216287188673
"77",4.93072962460166
"78",7.52299457944075
"79",7.40068342999306
"80",5.60403755699366
"81",5.2026195969134
"82",4.87543877160325
"83",5.61618820078866
"84",6.94530526196058
"85",6.51022542378691
"86",1.97019097556824
"87",4.42322982449596
"88",4.33730741480277
"89",5.79425262264371
"90",7.08590556873124
"91",6.56908457181737
"92",9.8128358387615
"93",9.66087551316967
"94",8.17291428690955
"95",7.99444439902354
"96",8.12135631929804
"97",8.92760831960146
"98",7.92674003288639
"99",8.92191355394812
"100",9.16209867003323
"101",10.0066826643562
"102",8.79662870957458
"103",7.3210646808612
"104",9.5962408045469
"105",9.90180406357382
"106",9.96966668760949
"107",10.1596457447361
"108",10.4071084363399
"109",10.6264669808928
"110",10.4219148270386
"111",9.98817467598285
"112",7.11970865441098
"113",8.10152633175515
"114",10.012851993814
"115",10.451527608436
"116",10.0498679705607
"117",9.99434400544064
"118",7.85660449799785
"119",9.87095741628488
"120",9.93882004032055
"121",9.91414272248939
"122",9.91358774786879
"123",10.3660461360372
"124",10.8540554569628
"125",5.16032054748017
"126",5.85346536624119
"127",8.58362957512507
"128",10.9520201533568
"129",12.1391435966248
"130",6.58645336345289
"131",10.8867103557608
"132",5.53528209988374
"133",5.64231760149939
"134",8.93365927618067
"135",12.7963816433102
"136",12.84443650952
"137",13.8083393490264
"138",14.9307954696458
"139",14.2885824599519
"140",14.0005310364863
"141",11.8850058280828
"142",12.6197730656444
"143",16.9802105152867
"144",16.3450807373173
"145",15.5210647800263
"146",12.603717740402
"147",13.7120073975723
"148",13.3742016373262
"149",11.9117647034867
"150",8.70404451444268
"151",11.3934724750751
"152",6.60150523086759
"153",11.4861457176226
"154",9.65016193687315
"155",9.91008123846257
"156",10.567524177777
"157",9.67182187867227
"158",11.8352233842921
"159",12.1886221747816
"160",12.22652707293
"161",11.6765517176242
"162",9.61767202417448
"163",10.935743188362
"164",10.373349170119
"165",11.071691176007
"166",11.0615832031674
"167",9.59601208237536
"168",9.66099190777271
"169",11.2637426599592
"170",11.1323390130446
"171",11.7823328287361
"172",9.97506106385992
"173",10.4946448441941
"174",10.8599333920651
"175",10.8491034211655
"176",11.5284581620674
"177",12.513415125583
"178",12.5892249218799
"179",13.0582980364671
"180",13.0725123732728
"181",13.3710134461919
"182",13.4168489814529
"183",3.0263524120249
"184",2.59344643669694
"185",1.07020541924765
"186",2.4646953519215
"187",3.049635334238
"188",2.78060659917321
"189",0.805781749940751
"190",0.615314511280784
"191",2.22639044862216
"192",2.45974338712244
"193",1.3038309013353
"194",2.29019461045614
"195",0.818069958886555
"196",2.14344503823798
"197",2.83781033047264
"198",3.38167005101616
"199",3.55477351616575
"200",3.32903040079523
"201",2.35575212634228
"202",2.11154295732099
"203",0.99436961546783
"204",2.00945629838661
"205",1.77822592151554
"206",2.34584819674417
"207",2.54392678870639
"208",1.19343860038986
"209",1.99669546601981
"210",2.46964731672055
"211",2.17534711915497
"212",1.28981195873516
"213",1.28046599700173
"214",10.5706534433284
"215",10.6376018385421
"216",13.9078525715555
"217",13.0700331073071
"218",13.8887706618086
"219",12.7128045426479
"220",10.9616480134774
"221",9.313067161706
"222",8.88477636702529
"223",7.69334165738591
"224",9.14901969880742
"225",10.012952882734
"226",10.5910290418717
"227",10.0423935434863
"228",10.4920618489472
"229",9.25667584633462
"230",10.5240806466581
"231",10.7656770293856
"232",10.611404640415
"233",11.5349428669879
"234",11.0881912044304
"235",10.7860526279288
"236",10.6812638354205
"237",10.7365690314666
"238",10.9435704147698
"239",10.7511230304261
"240",12.2083380965055
"241",10.8035174266802
"242",11.106268803138
"243",9.36433199386181
"244",8.33420208736162
"245",5.29871592920045
"246",6.14758336248501
"247",6.86766561231219
"248",7.32915519524638
"249",7.0917449424224
"250",7.6778354453318
"251",7.15285748699791
"252",7.83254328064935
"253",7.98950020508854
"254",8.12802197279303
"255",7.85761509380854
"256",5.3946394168886
"257",7.24512544645505
"258",5.22354784734817
"259",5.32965898974501
"260",5.40701664110642
"261",5.45033692586881
"262",4.79373461295517
"263",3.42738883826721
"264",5.25539564443806
"265",6.9287781568877
"266",7.95790234644527
"267",5.21276328065837
"268",5.41320525321533
"269",5.2739614807648
"270",4.38483613288629
"271",4.92157998003387
"272",5.34822482607175
"273",5.65435872144336
"274",6.16980610596702
"275",6.93481548730523
"276",6.02965090037488
"277",6.08858391262817
"278",5.99634093692737
"279",6.01940168085257
"280",5.91690948562945
"281",5.89641104658483
"282",6.80942785814921
"283",5.56600290883301
"284",6.99581487446221
"285",7.6818969710378
"286",7.71422143260817
"287",7.76270812496372
"288",7.46765440796976
"289",7.74654589417853
"290",8.1032817635146
"291",6.95514861635756
"292",7.91227358150789
"293",7.63208753856684
"294",3.88888285360622
"295",6.03990011989719
"296",5.93740792467408
"297",5.37629665000898
"298",6.30153154471305
"299",6.00146554668852
"300",3.35155998395822
"301",2.41966477127371
"302",5.92459640027119
"303",5.79462049671441
"304",3.99424633753375
"305",5.25178761284905
"306",5.05739543393288
"307",4.31166755855828
"308",5.36611244195427
"309",5.4221736241833
"310",4.10556894915314
"311",5.0075872297217
"312",5.66363243376033
"313",5.02893360295506
"314",4.59112367350221
"315",4.52292101970398
"316",2.65692832976477
"317",-0.670687569131618
"318",0.971113618194516
"319",4.08284941740769
"320",3.24881349782792
"321",3.74759313383619
"322",2.75970716385133
"323",4.10232330176093
"324",3.6550921831583
"325",3.2061207513612
"326",1.70816741174731
"327",2.54689451915447
"328",4.01469082217134
"329",4.83765335653063
"330",3.51815450127239
"331",3.04486109744887
"332",2.87077739967932
"333",1.30194054767782
"334",1.55659022366168
"335",3.21323620910565
"336",2.99265806352735
"337",2.68614783926055
