"","deg3_prec_proj"
"1",9.04233539712672
"2",1.61479591836735
"3",0.0130739795918367
"4",0.0103646893890537
"5",0.0256965359558865
"6",0.0452663196744967
"7",0.00666214466036763
"8",0
"9",0.00413302742705053
"10",0
"11",0.0162958867695867
"12",0.00417888164520264
"13",0.00149393081665039
"14",0.00586628913879395
"15",0.00804511989865984
"16",0.0948707839968253
"17",4.24833732965041
"18",4.00242121852174
"19",0.00138664245605469
"20",0.00327957071820084
"21",0.00318877551020408
"22",0.00751492080316708
"23",0.3726061151496
"24",0.0055049475358457
"25",0.00280924731086255
"26",0.00125783681869507
"27",0.00638812917227648
"28",0.0725272005918075
"29",0.00775557391497554
"30",0.00876073067893787
"31",0.0469077774427465
"32",1.9200482526604
"33",0.457497489163462
"34",0.0997282830732209
"35",0.0205170133588265
"36",0.0340810705746087
"37",0.0958216546901635
"38",0.0112540588086965
"39",0.0122799395859165
"40",0.00804191827774048
"41",0
"42",0.0101111789699644
"43",0
"44",0.000189498066902161
"45",0.00543856620788574
"46",0.0181760204081633
"47",0.00956270471215248
"48",0.00633078813552856
"49",0.00826793164014816
"50",0.0078585147857666
"51",0.00621151924133301
"52",0.00105424225330353
"53",0.00473124533891678
"54",0.000590745359659195
"55",0.00569109466611123
"56",0.323605555808172
"57",0.0922033129906168
"58",0.0352585267047493
"59",0.0101879835128784
"60",0.034444177152627
"61",0.018746232803987
"62",0.0101381771418513
"63",0
"64",0.053971568312572
"65",0.0189099395362546
"66",0.0021967778400499
"67",0.00684039036230165
"68",0.00663112134349589
"69",0.0105266257816431
"70",0.00267636775970459
"71",0.00562556833028793
"72",0.0016855001449585
"73",0.0717944511193402
"74",0.16079713252126
"75",0.344912294222384
"76",0.160586892342081
"77",5.32021792902022
"78",6.2541878554894
"79",0.0118792230377392
"80",0.000531163066625595
"81",0.00554549694061279
"82",0.0205457843079859
"83",1.22176651687038
"84",2.34009141444552
"85",0.0353182558806575
"86",0.966517857142857
"87",25.1123054593193
"88",7.90545495128145
"89",0.310682445612489
"90",0.582881188219679
"91",0.0789508018262532
"92",0
"93",0.0220548688453071
"94",0.0286989795918367
"95",6.20057397959184
"96",0.118016060517759
"97",0.0229811315633813
"98",0
