"","ref_prec_proj"
"1",6.06800490617752
"2",0.96875
"3",0
"4",0.00940805673599243
"5",0.015173576772213
"6",0.0361783094704151
"7",0.00666214466036763
"8",0
"9",0.00333583354949951
"10",0
"11",0.0100777745246887
"12",0.00417888164520264
"13",0.00149393081665039
"14",0.00586628913879395
"15",0.0125094056129456
"16",0.00765777379274368
"17",2.07391130924225
"18",2.39384341239929
"19",0.00138664245605469
"20",0.00280125439167023
"21",0
"22",0.00161568610928953
"23",0.139506626874208
"24",0.00470775365829468
"25",0.00264980853535235
"26",0.00125783681869507
"27",0.0191432312130928
"28",0.758751690387726
"29",0.00759613513946533
"30",0.00302093476057053
"31",0.0279345631570322
"32",0.215009987354279
"33",0.0581033565104008
"34",0.0907997116446495
"35",0.00616752356290817
"36",0.0273846420459449
"37",0.0913573689758778
"38",0.0158777832984924
"39",0.0103666742797941
"40",0.00804191827774048
"41",0
"42",0.0101111789699644
"43",0
"44",0.000189498066902161
"45",0.00543856620788574
"46",0.015625
"47",0.00956270471215248
"48",0.00633078813552856
"49",0.00826793164014816
"50",0.0078585147857666
"51",0.00621151924133301
"52",0.00105424225330353
"53",0.00473124533891678
"54",0.000590745359659195
"55",0.00106737017631531
"56",0.0345430558081716
"57",0.00339591503143311
"58",0.0142126083374023
"59",0.0101879835128784
"60",0.0283855036832392
"61",0.0222538858652115
"62",0.00854378938674927
"63",0
"64",0.0630595795810223
"65",0.00822754157707095
"66",0.00171846151351929
"67",0.00444880872964859
"68",0.00599336624145508
"69",0.0137154012918472
"70",0.00267636775970459
"71",0.00562556833028793
"72",0.0016855001449585
"73",0.212260015308857
"74",0.390548408031464
"75",0.00913423299789429
"76",0.0147004127502441
"77",6.19601511955261
"78",8.22261895239353
"79",0.00677718222141266
"80",0.000531163066625595
"81",0.00554549694061279
"82",0.00508022308349609
"83",1.28362876176834
"84",3.25909659266472
"85",0.0110835619270802
"86",1.0234375
"87",28.2843400239944
"88",8.84295495226979
"89",0.2982462272048
"90",0.0560954697430134
"91",0.00481177121400833
"92",0
"93",0.0239681340754032
"94",0
"95",6.40625
"96",0.0866066217422485
"97",0.026648223400116
"98",0
"99",0.00114959478378296
"100",0.00918841361999512
"101",0.0102843046188354
"102",0.000871241092681885
"103",0.30181075935252
"104",0.00715631246566772
"105",0.000626921653747559
"106",0.00675618648529053
"107",0.00066530704498291
"108",0
"109",0.00739037990570068
"110",0.00207282532937825
"111",0.00291377305984497
"112",4.1174868599046
"113",34.5378676056862
"114",0.0420419573783875
"115",0.00676534883677959
"116",0.00483506917953491
"117",0.00816464424133301
"118",0.002544105052948
"119",0
"120",0.0198890378233045
"121",0.0113900899887085
"122",0.00768634304404259
"123",0.00457598268985748
"124",0.00336951017379761
"125",0.0131743550300598
"126",0.00730648278840818
"127",0.000909328460693359
"128",0.078125
"129",0.00372415781021118
"130",0.0130891799926758
"131",1.01638001203537
"132",3.36162495613098
"133",0.0546875
"134",16.9454995989799
"135",0.562184751033783
"136",0.00339388474822044
"137",0.00118625164031982
"138",0.000901877880096436
"139",0
"140",0.00506138801574707
"141",0.048997163772583
"142",0.0585918426513672
"143",4.7421875
"144",0.00571304559707642
"145",0.00867714639753103
"146",0.00679737329483032
"147",4.4232103228569
"148",6.36745804548264
"149",0.0037803053855896
"150",0.00290636951103806
"151",2.32312107086182
"152",5.1875
"153",61.0116233825684
"154",0.102839410305023
"155",0.233058273792267
"156",5.7265625
"157",0.211730182170868
"158",15.9625439941883
"159",9.7698934674263
"160",0.0012589693069458
"161",0.0050894021987915
"162",0.00309933349490166
"163",0.0546917431056499
"164",4.72123736143112
"165",2.67341238260269
"166",0.111778974533081
"167",7.54754066467285
"168",0.837325096130371
"169",1.40529876947403
"170",0.177886739373207
"171",1.38758873939514
"172",0.00419301073998213
"173",0.00241756439208984
"174",0.000996232032775879
"175",0
"176",0.00647622346878052
"177",0.0974031686782837
"178",0.307471752166748
"179",0.00858819484710693
"180",0.00389540195465088
"181",0.00637900829315186
"182",0.00738680362701416
"183",0.218293845653534
"184",0.00582402944564819
"185",2.65399515628815
"186",0.00919628143310547
"187",0.0115393435116857
"188",0.430144923273474
"189",0.700168907642365
"190",3.18676966428757
"191",44.3828125
"192",19.4551889896393
"193",18.6796875
"194",3.3984375
"195",2.4375
"196",13.5176193714142
"197",0.183978140354156
"198",0.955477654933929
"199",0
"200",0.00226974487304688
"201",0.00943994522094727
"202",0.00611728429794312
"203",0.00923728942871094
"204",0
"205",4.140625
"206",10.78125
"207",5.14379727840424
"208",11.3872573375702
"209",4.56741735339165
"210",0.00386267900466919
"211",4.59375
"212",23.2041046619415
"213",6.2890625
"214",16.5390625
"215",0.0625
"216",38.6484375
"217",1.390625
