"","deg2_etp_proj"
"1",1.6217790395979
"2",2.2008752733469
"3",1.20947809648234
"4",0.276497373958118
"5",0.916120878068032
"6",1.71503695398569
"7",1.23605278843781
"8",1.15662791683571
"9",0.717012270403793
"10",1.60365392129868
"11",2.63406253814697
"12",2.44203101679683
"13",2.46931696975254
"14",2.37038046348491
"15",1.70145611393593
"16",2.31809789824299
"17",2.04466064483393
"18",2.10878948815167
"19",1.84171023484319
"20",1.17080320468755
"21",1.11533178906568
"22",-0.353888053537812
"23",1.70619042502716
"24",2.17910910576582
"25",3.71755000934703
"26",2.87930659736507
"27",2.37358551979065
"28",4.13673006393015
"29",2.68821353731677
"30",2.62504192553461
"31",2.14309444189072
"32",1.35034336946905
"33",1.17127241559327
"34",0.866501331180334
"35",0.682366559796501
"36",0.549312893669121
"37",-0.168345772167668
"38",-1.28858443498146
"39",0.0761695266515017
"40",2.10755542530154
"41",3.43531790014589
"42",5.08210850775242
"43",3.21016723930836
"44",4.50125864572823
"45",3.72602031173185
"46",5.23643945664167
"47",4.58524690657854
"48",4.0736656242609
"49",4.00167265511263
"50",4.11376674476545
"51",4.35967214755714
"52",4.9598735672608
"53",5.20439064697828
"54",6.5599567768909
"55",5.28000931628048
"56",4.95267039686441
"57",3.11139423096552
"58",4.3175506545807
"59",4.77256580591202
"60",3.01033958792686
"61",3.2434170217067
"62",4.41692997463047
"63",4.85460073799826
"64",4.9815401490638
"65",5.59507082134252
"66",3.8217202315852
"67",4.65752922445536
"68",3.49633645430207
"69",2.22543752898462
"70",5.08653099188406
"71",6.6710935010016
"72",6.36074036680162
"73",5.47493021103786
"74",5.96044262820855
"75",4.42483496751636
"76",5.35767524493509
"77",4.2837032438349
"78",6.03298271089792
"79",5.61453267678618
"80",5.61278259254992
"81",5.07746555828489
"82",5.83012134347577
"83",5.69819370090961
"84",6.81022255869349
"85",5.66836862742901
"86",3.09416404888034
"87",1.30932301535737
"88",3.24735907827504
"89",4.40801279362291
"90",5.6817394373822
"91",5.97269564849325
"92",5.75635506620514
"93",8.07376503121108
"94",7.02078633802012
"95",6.79230950698256
"96",5.02935048148036
"97",5.20473149583209
"98",5.35536038763821
"99",5.2867287744768
"100",6.66028233032208
"101",6.96503892494657
"102",8.33019150553271
"103",5.23612788980827
"104",6.84939259572304
"105",7.00413026354276
"106",8.25257089793682
"107",8.4385917327588
"108",9.00649632088258
"109",8.84628104432952
"110",9.42330206243787
"111",7.72491032607853
"112",7.08260270442814
"113",5.06391772451345
"114",6.73934988524998
"115",9.35061547447927
"116",10.7325894490257
"117",8.37614852020517
"118",8.7977477793023
"119",6.51443545894697
"120",6.62540729522705
"121",8.45680569984019
"122",7.90735146392602
"123",7.94818380476441
"124",9.07401225931942
"125",9.61709160284139
"126",9.32705871236511
"127",9.25726747762877
"128",9.83424736339599
"129",10.7002718835324
"130",11.1063630978484
"131",8.37874993002042
"132",8.36120197685435
"133",8.30062036608549
"134",4.94306757061277
"135",8.6207403936196
"136",11.2258856648579
"137",11.9865530741587
"138",13.2859846237674
"139",13.5259895900637
"140",13.9816367261857
"141",12.3220920559019
"142",10.4556936068041
"143",11.0198446379602
"144",14.54657268852
"145",13.9732030385733
"146",11.9980101381661
"147",9.53824319243431
"148",11.4496101079229
"149",9.40262774065137
"150",8.58845801483956
"151",8.13213376157917
"152",8.6269198166579
"153",6.32610290333629
"154",7.67900478591211
"155",8.84869129309664
"156",8.77354439008981
"157",10.0120531034772
"158",9.40846558216959
"159",10.2578180511296
"160",8.57809724005521
"161",8.66743973595643
"162",8.97877782639116
"163",9.13358998873737
"164",8.47988679364556
"165",9.02196672674268
"166",8.89393019586802
"167",6.85909587426111
"168",9.14405590826646
"169",9.41559467658401
"170",10.2352022724599
"171",10.8934107177705
"172",11.1743436838884
"173",11.1257523371535
"174",10.6147293111123
"175",11.7747121430188
"176",10.9127082938515
"177",9.03638745553791
"178",9.01967360071838
"179",10.8573998069763
"180",11.3050865082443
"181",11.6053560767509
"182",10.4927132764459
"183",11.2775155061483
"184",11.6708183819056
"185",11.7770901346207
"186",13.2723028355092
"187",14.292625490427
"188",14.7051227509975
"189",13.7381267213821
"190",9.19093102455139
"191",5.30905501782894
"192",3.81866934865713
"193",4.18269495338201
"194",6.21448599071242
"195",7.35281892332714
"196",8.14191189691424
"197",8.82776450675447
"198",7.42231694927905
"199",9.73386258887127
"200",11.2416279195249
"201",11.0131296647713
"202",11.6212501248717
"203",12.1031287835538
"204",11.2137985356152
"205",8.58781114853918
"206",7.66987571422476
"207",8.05089543748531
"208",6.2669330269983
"209",7.62938124753535
"210",9.00299456155466
