"","pr_dsI"
"1",0.184896315620146
"2",0.0579079501763332
"3",0.0338963580154461
"4",0.0338963580154461
"5",0.0338963580154461
"6",0.0338963580154461
"7",0.0338963580154461
"8",0.0338963580154461
"9",0.0338963580154461
"10",0.0338963580154461
"11",0.0338963580154461
"12",0.0338963580154461
"13",0.0338963580154461
"14",0.58784963555779
"15",0.0338963580154461
"16",0.0338963580154461
"17",0.0338963580154461
"18",0.0338963580154461
"19",0.0338963580154461
"20",0.0338963580154461
"21",0.0338963580154461
"22",0.0338963580154461
"23",0.0338963580154461
"24",0.0338963580154461
"25",0.0338963580154461
"26",0.0338963580154461
"27",0.0338963580154461
"28",0.0338963580154461
"29",0.0338963580154461
"30",0.0338963580154461
"31",0.0338963580154461
"32",13.4296845378543
"33",11.3442818741495
"34",0.0908618548593905
"35",0.0908618548593905
"36",0.138886373570696
"37",0.0908618548593905
"38",0.0908618548593905
"39",0.0908618548593905
"40",0.0908618548593905
"41",0.0908618548593905
"42",0.0908618548593905
"43",0.0908618548593905
"44",0.0908618548593905
"45",0.0908618548593905
"46",0.0908618548593905
"47",0.0908618548593905
"48",0.0908618548593905
"49",0.0908618548593905
"50",0.0908618548593905
"51",0.0908618548593905
"52",0.0908618548593905
"53",0.0908618548593905
"54",0.0908618548593905
"55",0.0908618548593905
"56",0.0908618548593905
"57",0.0908618548593905
"58",0.0908618548593905
"59",0.0908618548593905
"60",0.0908618548593905
"61",8.76182483985437
"62",36.044261663471
"63",0.526545910148153
"64",5.38035681342926
"65",2.5476943697489
"66",0.796858860195932
"67",0.526545910148153
"68",0.526545910148153
"69",0.526545910148153
"70",0.526545910148153
"71",0.526545910148153
"72",0.526545910148153
"73",0.526545910148153
"74",0.526545910148153
"75",1.55854920438888
"76",0.526545910148153
"77",0.526545910148153
"78",0.526545910148153
"79",0.526545910148153
"80",0.526545910148153
"81",0.526545910148153
"82",0.526545910148153
"83",0.526545910148153
"84",0.526545910148153
"85",0.526545910148153
"86",0.526545910148153
"87",0.526545910148153
"88",0.526545910148153
"89",22.5639209943921
"90",29.1234832969994
"91",0.526545910148153
"92",-0.452910366759763
"93",5.67919021928024
"94",3.64979410127784
"95",-0.452910366759763
"96",-0.452910366759763
"97",-0.452910366759763
"98",-0.452910366759763
"99",-0.452910366759763
"100",-0.452910366759763
"101",0.400741012854105
"102",24.7363303821137
"103",1.57440282526655
"104",-0.449836209129463
"105",-0.452910366759763
"106",-0.397575529414365
"107",-0.452910366759763
"108",-0.452910366759763
"109",-0.452910366759763
"110",-0.452910366759763
"111",-0.452910366759763
"112",-0.452910366759763
"113",-0.452910366759763
"114",-0.452910366759763
"115",-0.452910366759763
"116",-0.452910366759763
"117",-0.452910366759763
"118",-0.452910366759763
"119",-0.437539578608264
"120",-0.452910366759763
"121",2.41675927087465
"122",31.3100335875645
"123",36.759902906415
"124",0.584871818991504
"125",0.584871818991504
"126",0.584871818991504
"127",0.584871818991504
"128",35.2586402035457
"129",0.59719408467853
"130",0.584871818991504
"131",13.1474820901777
"132",0.584871818991504
"133",1.91769570798777
"134",0.584871818991504
"135",2.76591284559512
"136",30.5483635397852
"137",27.7627160504645
"138",3.9710787523968
"139",0.745061272922843
"140",0.584871818991504
"141",0.584871818991504
"142",8.28071567235519
"143",9.74756361603246
"144",2.38230566040625
"145",0.720416741548791
"146",0.584871818991504
"147",0.584871818991504
"148",0.584871818991504
"149",5.4775361358989
"150",0.65880541311366
"151",0.584871818991504
"152",0.584871818991504
"153",0.373160853621154
"154",67.8555805382333
"155",0.45128390033786
"156",0.373160853621154
"157",0.373160853621154
"158",0.373160853621154
"159",0.373160853621154
"160",2.36434115461875
"161",7.17018504806733
"162",0.461049281177448
"163",0.412222376979507
"164",0.373160853621154
"165",0.373160853621154
"166",0.373160853621154
"167",0.373160853621154
"168",0.373160853621154
"169",50.3831600880838
"170",0.373160853621154
"171",0.373160853621154
"172",0.373160853621154
"173",0.373160853621154
"174",0.373160853621154
"175",0.373160853621154
"176",0.373160853621154
"177",0.373160853621154
"178",0.373160853621154
"179",0.373160853621154
"180",0.373160853621154
"181",0.373160853621154
"182",0.373160853621154
"183",-0.816355297136743
"184",-0.816355297136743
"185",-0.816355297136743
"186",-0.816355297136743
"187",-0.816355297136743
"188",-0.816355297136743
"189",31.729638911695
"190",0.933878731194626
"191",-0.816355297136743
"192",-0.816355297136743
"193",0.184244424593059
"194",0.156517944936325
"195",0.0872017457944891
"196",-0.816355297136743
"197",-0.816355297136743
"198",-0.816355297136743
"199",-0.816355297136743
"200",-0.816355297136743
"201",-0.816355297136743
"202",-0.816355297136743
"203",-0.816355297136743
"204",-0.816355297136743
"205",-0.816355297136743
"206",-0.816355297136743
"207",-0.816355297136743
"208",-0.816355297136743
"209",-0.816355297136743
"210",-0.816355297136743
"211",-0.816355297136743
"212",-0.816355297136743
"213",-0.816355297136743
"214",3.9017061416095
"215",1.76154511024935
"216",9.66521347904505
"217",4.35407292319761
"218",1.67850396288322
"219",1.71541113949039
"220",4.75727098832218
"221",11.6455601327627
"222",2.05039454083051
"223",0.484319856034357
"224",0.484319856034357
"225",0.484319856034357
"226",0.484319856034357
"227",3.42382123388052
"228",1.01883632843788
"229",0.484319856034357
"230",0.484319856034357
"231",0.484319856034357
"232",0.484319856034357
"233",0.484319856034357
"234",0.484319856034357
"235",0.484319856034357
"236",0.484319856034357
"237",0.484319856034357
"238",0.484319856034357
"239",0.484319856034357
"240",0.484319856034357
"241",0.484319856034357
"242",21.2242680652971
"243",0.484319856034357
"244",0.484319856034357
"245",0.512538128472312
"246",0.512538128472312
"247",0.512538128472312
"248",10.6752632906475
"249",13.5199958635512
"250",0.512538128472312
"251",0.512538128472312
"252",0.512538128472312
"253",0.512538128472312
"254",0.512538128472312
"255",0.512538128472312
"256",0.512538128472312
"257",1.96835400194233
"258",1.08612873272074
"259",0.512538128472312
"260",0.512538128472312
"261",0.512538128472312
"262",8.82309105848157
"263",0.512538128472312
"264",0.512538128472312
"265",3.98545626348244
"266",1.27289398582655
"267",0.512538128472312
"268",0.512538128472312
"269",0.512538128472312
"270",0.512538128472312
"271",0.512538128472312
"272",14.091856316747
"273",3.41806605702561
"274",2.9223653630858
"275",-0.531002143493493
"276",-0.531002143493493
"277",-0.531002143493493
"278",-0.531002143493493
"279",-0.531002143493493
"280",-0.531002143493493
"281",-0.531002143493493
"282",-0.531002143493493
"283",-0.531002143493493
"284",-0.531002143493493
"285",-0.531002143493493
"286",-0.531002143493493
"287",-0.531002143493493
"288",-0.531002143493493
"289",-0.531002143493493
"290",-0.531002143493493
"291",-0.531002143493493
"292",-0.531002143493493
"293",-0.531002143493493
"294",6.21389958137187
"295",-0.531002143493493
"296",-0.531002143493493
"297",-0.531002143493493
"298",-0.531002143493493
"299",-0.531002143493493
"300",-0.531002143493493
"301",-0.531002143493493
"302",-0.531002143493493
"303",0.76113851526028
"304",0.694760471490931
"305",-0.531002143493493
