"","etp_ds3"
"1",1.61224131615063
"2",2.10872975809533
"3",1.16531161160513
"4",0.118608551035246
"5",0.767377476988388
"6",1.80893157782849
"7",1.2306390381768
"8",0.93125921088801
"9",0.304622766523373
"10",1.46379037094121
"11",2.49635280829864
"12",2.30411815211423
"13",2.24771948980126
"14",2.24366468401405
"15",1.70538921576231
"16",2.22051850097875
"17",2.08192298650212
"18",2.32468571076214
"19",1.97131689530664
"20",1.18299507017712
"21",1.21171661116984
"22",-0.0560859982969282
"23",1.77296931221576
"24",2.13936606848756
"25",3.64392428252959
"26",2.89716421671894
"27",2.38982200170747
"28",4.16361522425663
"29",2.64789020380063
"30",2.66130968009639
"31",2.2229851744993
"32",1.41124311359195
"33",1.14592378612408
"34",0.866137732517424
"35",0.555206730667121
"36",0.397609268525854
"37",-1.73094700045625
"38",-1.73094700045625
"39",0.0232714443484841
"40",2.0014322302763
"41",3.50532367868635
"42",5.16732112030294
"43",3.28585332893136
"44",4.40290404022244
"45",3.62465307266218
"46",5.25080681269201
"47",4.67938187814893
"48",4.07056701277997
"49",3.98367637325809
"50",4.15574228120842
"51",4.39052241428494
"52",4.93328904379349
"53",5.2384251867545
"54",6.57183601753514
"55",5.2734198625627
"56",5.00386646122513
"57",3.15274803609724
"58",4.34999193563012
"59",4.82111710172803
"60",3.0323676779198
"61",3.14301583101545
"62",4.18833172516974
"63",4.74405165096408
"64",4.84356332089612
"65",5.57554141456427
"66",3.62526469299381
"67",4.71413843212472
"68",3.25752935117002
"69",2.15495669693845
"70",4.96522488789978
"71",6.50735718254766
"72",6.27119415960353
"73",5.50426000560586
"74",5.94051525778256
"75",4.2673764558959
"76",5.34345609598299
"77",4.05317030259793
"78",5.97152511368282
"79",5.65268603157105
"80",5.6785275781546
"81",5.04312955039431
"82",5.86955234407616
"83",5.72261021644419
"84",6.78667389929635
"85",5.75963528949037
"86",2.95984486846733
"87",0.877573580524021
"88",3.01456814358544
"89",4.36136874788118
"90",5.62076412108548
"91",6.00496711514389
"92",5.64707504213419
"93",7.92783656969759
"94",6.91270629680648
"95",6.71564267986893
"96",4.78694569050838
"97",5.25058079911662
"98",5.4526164826969
"99",5.14034644354972
"100",6.70877071784239
"101",6.98833462755846
"102",8.12762875979273
"103",5.13347448152317
"104",6.83834987108794
"105",6.93074519712615
"106",8.03276873495579
"107",8.24970714402891
"108",8.71753953924749
"109",8.66040793337978
"110",9.22840591235285
"111",7.6604364002531
"112",7.0741239075101
"113",5.28425341304667
"114",6.82215809128031
"115",9.27049667976541
"116",10.2941158469246
"117",8.46051468501954
"118",8.68547038312363
"119",6.50633978415863
"120",6.78608029064097
"121",8.3269156585624
"122",7.7326973703763
"123",7.87202594131962
"124",9.05953973223951
"125",9.64910940842739
"126",9.3223406569706
"127",9.33782876693742
"128",9.86624663639356
"129",10.8564607258162
"130",10.924221206921
"131",8.38901934123908
"132",8.41114521262025
"133",8.11824363719735
"134",4.71049310705477
"135",8.59504259344228
"136",10.9823016192966
"137",11.9821957774485
"138",13.3021016194737
"139",13.4957029940589
"140",13.8050855828568
"141",12.3534548840061
"142",10.2762260178682
"143",10.9532614131088
"144",14.2985792827799
"145",13.7018315164114
"146",11.7521517911767
"147",9.79957322183052
"148",11.4423895918403
"149",9.46006336030299
"150",8.51646836507721
"151",8.05136316234064
"152",8.54029622656463
"153",6.05931548131114
"154",7.44102668704504
"155",8.73019287019809
"156",8.67061381322279
"157",9.93368982109907
"158",9.44872408543218
"159",10.217008356306
"160",8.54416825159361
"161",8.6375143371254
"162",8.86200666618592
"163",9.16755098965633
"164",8.64413423234488
"165",9.05184189674446
"166",8.83332045356818
"167",6.34099480436848
"168",9.21889689963597
"169",9.22551679485545
"170",10.1275748699095
"171",10.8052866430035
"172",11.0282978400454
"173",11.0405919311673
"174",10.6042722266454
"175",11.4690771658566
"176",10.7057587435535
"177",9.1060805340469
"178",8.78315203195391
"179",10.5660239431551
"180",11.0037096578016
"181",11.3117851176795
"182",10.3984064655064
"183",11.2111284773106
"184",11.6329133211182
"185",11.7192667898297
"186",13.5172216040329
"187",14.4957779484622
"188",14.9386520344602
"189",13.7012097353482
"190",9.21548140106734
"191",4.3381677076596
"192",2.74007610689856
"193",3.54929824197572
"194",5.19596488035541
"195",7.09147682318372
"196",7.65402460521422
"197",8.83534142543457
"198",7.17594040116586
"199",9.50841182091693
"200",11.1813457377651
"201",10.9869777450592
"202",11.6985070670486
"203",12.152080842099
"204",11.1709658763745
"205",8.64816527935041
"206",7.28686244935929
"207",8.02362908139635
"208",5.6643476453263
"209",7.18998374304723
"210",8.87681298236302
"211",8.33706019005299
"212",4.65973988407356
"213",5.44372470910305
"214",5.16691614377602
"215",8.21875008861852
"216",9.58007855957773
"217",10.3828780027336
"218",10.8312536844942
"219",11.1575448391231
"220",9.21438213720068
"221",7.55361371803122
"222",5.78596297325248
"223",5.05764431223637
"224",7.1557861574124
"225",7.91269191523907
"226",7.58075314961099
"227",8.12883626325036
"228",6.18168320413386
"229",6.34931646192096
"230",5.1379674167576
"231",8.30730371356655
"232",9.2505680459737
"233",8.27111780479353
"234",7.76782811821082
"235",8.28559216830274
"236",7.32194150512763
"237",5.93935826774762
"238",4.44028661626241
"239",4.086255220373
"240",3.74900071956937
"241",4.11725699990055
"242",5.12349305324839
"243",5.58900039390632
"244",4.17153586306009
"245",6.08312251900251
"246",6.89398432251689
"247",5.58063875202411
"248",6.574888791662
"249",6.66300088495583
"250",6.64356649525755
"251",5.84624207790064
"252",7.39522962348511
"253",6.7086717007468
"254",6.97072158184026
"255",6.90370151736604
"256",6.07502485662822
"257",5.40468131196171
"258",4.12251174160993
"259",3.27242390888834
"260",5.16661003815775
"261",5.36520520788708
"262",3.30481455838548
"263",4.90086976652047
"264",4.87354015600726
"265",5.6471620691426
"266",5.96472652938051
"267",6.24276078771531
"268",5.93002226206215
"269",5.30479426490951
"270",2.32418764485962
"271",2.05732203631886
"272",4.86443028583619
"273",5.106663519934
"274",5.5001384613621
"275",5.74558690500295
"276",5.35151906578908
"277",4.44638236195084
"278",4.65655987454131
"279",4.30392766211485
"280",4.43672120544601
"281",3.37726173402613
"282",4.83488872169305
"283",5.16520187349029
"284",4.92481798682555
"285",5.53733530923207
"286",5.59557061371954
"287",5.23211432780155
"288",5.20169957584189
"289",4.79049863517652
"290",5.60925725210139
"291",6.26621589443015
"292",4.77556775694177
"293",5.78208460735455
"294",4.7681023178244
"295",2.71627760982036
"296",4.67937093851106
"297",3.82248002962392
"298",4.23261912600774
"299",4.24676581946124
"300",3.80195007205115
"301",2.77746493435098
"302",2.20101592956251
"303",5.40079096396374
"304",4.04871211111213
"305",1.26549394134436
"306",3.35323858158533
"307",2.91311270708574
"308",3.43955762584718
"309",4.36756434389331
"310",3.38525857522414
"311",2.69367352160832
"312",3.96108192380002
"313",3.97206105897924
"314",3.05028731367784
"315",2.96520977989692
"316",2.70343275287873
"317",2.1988230889555
"318",2.7851150583017
"319",2.97726530087803
"320",3.40282519151089
"321",3.56938513049442
"322",3.22784791555662
"323",2.1928910072029
"324",1.91408316483045
"325",1.95151268711463
"326",2.01368473103145
"327",1.81511307829989
"328",1.7626715620321
"329",2.55446095789798
"330",2.72252066109881
"331",1.72573000131144
"332",1.25569384934472
"333",1.69059676873794
"334",1.43674194122162
"335",-0.532613521905385
"336",2.15221336893181
"337",1.6520167518108
"338",1.89680161645317
"339",2.57428813831311
"340",2.40429893370572
"341",2.40101301461728
"342",2.19593300562691
"343",2.3944411764404
"344",2.6165209844795
"345",3.09704799329241
"346",2.47330323456299
"347",1.91788626393733
"348",1.83287116124717
"349",1.57286475965099
"350",4.01764654825879
"351",2.16083890653897
"352",2.41811912281299
"353",1.6596838963505
"354",0.993093329899241
"355",0.535094195777962
"356",-0.665715941689203
"357",1.30082206864875
"358",2.04678184091351
"359",2.36117124566993
"360",2.41647616326877
"361",2.23889156547433
"362",1.94427026132394
"363",2.23601638627194
"364",1.73286002585437
"365",1.59586619327008
"366",0.958591179470607
"367",1.76722500401721
"368",2.15918956344724
"369",2.53395191650729
"370",3.32021562051755
"371",3.48004254862996
"372",3.9203268770242
"373",2.70185773796846
"374",0.562947685216695
"375",0.161690862524322
"376",1.66660574929763
"377",1.37052983783545
"378",1.17725076197858
"379",1.05357918546876
"380",1.32335893051094
"381",0.235522117899718
"382",2.03364076203593
"383",2.03874681376797
"384",1.99280736597884
"385",1.41580850245926
"386",2.01186495317871
"387",2.3195796590301
"388",2.87215958103116
"389",3.0296212057677
"390",2.33234478836019
"391",2.52559655912759
"392",2.63484080898545
"393",2.45564091988971
"394",3.20600525751121
"395",2.38773316236255
"396",2.88950513912088
"397",3.45132100763725
"398",2.66601772214239
"399",3.35779807964401
"400",1.88864937534774
"401",3.44125613447517
"402",2.93728710874134
"403",1.19596619095485
"404",-0.724475582060943
"405",1.24711778310919
"406",0.616764047619772
"407",0.480153441442584
"408",2.28184768320145
"409",2.64950888755905
"410",1.62140401717848
"411",2.25810333596087
"412",3.58925475450841
"413",3.4637899566799
"414",4.55646844566511
"415",4.30554521502141
"416",2.27875227671707
"417",1.73995808553014
"418",3.49824846386491
"419",3.25769607327978
"420",3.74211858973349
"421",2.99321078589243
"422",2.18692833311072
"423",1.49277698022559
"424",3.36825367488013
"425",3.10701856430137
"426",2.85906283679148
"427",3.28590438271274
"428",4.14424908688015
"429",3.57624175903383
"430",4.81190682312057
"431",4.64277558972119
"432",4.61028364511981
"433",2.26060301973591
"434",4.41077170458503
"435",4.79915494882607
"436",4.83618002187225
"437",3.20077928808457
"438",4.06799118960908
"439",6.28707066534767
"440",4.24736192471845
"441",3.09984524731117
"442",4.68996174708576
"443",3.65908671719875
"444",4.70675513310084
"445",4.81764938902802
"446",6.44563063114955
"447",7.03292863732785
"448",5.67206719150871
"449",6.02037914864552
"450",6.70285173979004
"451",5.66560680486283
"452",6.71023503881391
"453",7.30920517212554
"454",6.45116810541746
"455",6.61452359632063
"456",6.27980800846471
"457",4.99704582364333
"458",5.72709073069812
"459",4.47922327329052
"460",3.39405962268776
"461",7.57696227328366
"462",6.32074740317911
"463",5.11973055747009
"464",1.87843829190783
"465",2.4093478875906
"466",5.54090098308493
"467",3.26106694582119
"468",5.09183847630355
"469",3.59269974856081
"470",5.62035074536432
"471",6.5116846435126
"472",3.53271156239972
"473",6.06240205428724
"474",6.86507416785782
"475",6.14729099696803
"476",7.25493449720663
"477",5.66814007605868
"478",6.56243834998313
"479",6.01090276239423
"480",2.07828101113553
"481",1.85191049732009
"482",1.70264743977303
"483",4.70276415568326
"484",6.39959979882482
"485",7.09568912880729
"486",7.14174924029891
"487",6.2437498052656
"488",8.02083327237337
"489",6.89902086297121
"490",6.94302857038743
"491",7.5184313784824
"492",6.675240450583
"493",6.71396072550004
"494",6.82158031313712
"495",8.23222423885627
"496",6.5803378159824
"497",7.27608801076631
"498",4.71942855511255
"499",7.59086106920958
"500",6.41786450554617
"501",7.03511124098847
"502",7.68424526165657
"503",8.25955619762124
"504",8.92693832017066
"505",4.3178590071041
"506",4.76410579540144
"507",3.88738065655578
"508",4.75517034734366
"509",7.02543117225921
"510",6.31764732340794
"511",6.19212277204288
"512",7.74677747034613
"513",8.03804228344761
"514",7.47971110356536
"515",7.27092530744404
"516",5.86667000378589
"517",7.63999351889424
"518",7.46684427840101
"519",6.18575177137838
"520",5.87128820532935
"521",6.13698520992823
"522",7.77614914739106
"523",7.87522505819685
"524",7.81375460258742
"525",4.15915522114897
"526",5.46269047098429
"527",5.93348184276948
"528",6.91013890512876
"529",8.61793279832493
"530",8.3473866692402
"531",8.32473965927883
"532",8.27038683537154
"533",7.71371444934069
"534",7.62717369026702
"535",8.70371328932018
"536",9.62936285371033
"537",10.0117753792688
"538",9.87988509289505
"539",5.88358229645123
"540",6.41439776018445
"541",9.54330421585713
"542",8.65737402278384
"543",6.37136844125785
"544",8.71033318453965
"545",7.39141641345908
"546",8.5564623427155
"547",9.96811327624035
"548",10.5114308404619
"549",9.62593923544981
"550",9.77591250548094
"551",8.83208499833165
"552",7.16556053977529
"553",6.92132850705582
"554",8.79952072730238
"555",9.66620051599508
"556",9.28345931684093
"557",7.0059956117319
"558",7.75280289400298
"559",10.2754484230698
"560",10.7563141586019
"561",9.92505686679496
"562",9.20603776246885
"563",10.3503462464371
"564",8.53977277721015
"565",6.69989146405684
"566",7.55144715147204
"567",8.48766994356333
"568",9.24316103144221
"569",6.75525072480658
"570",9.4776237828529
"571",10.4407120985433
"572",10.5188120752285
"573",10.243426889891
"574",10.5077402230786
"575",9.36951040303575
"576",7.10328137143182
"577",9.29037922443464
"578",9.16175035386906
"579",9.49290148361257
"580",9.68283172869528
"581",8.60537397919028
"582",8.63251341077005
"583",10.0538917875367
"584",5.4308329539468
"585",2.3134890103123
"586",4.22312538764858
"587",8.23081205820953
"588",6.15163291095789
"589",6.60299547513149
"590",6.68765814214693
"591",6.76836118726628
"592",8.64155988796331
"593",10.9951055197191
"594",11.2057927174872
"595",8.43666662083103
"596",7.17991009659442
"597",6.26439385275792
"598",8.36429480328498
"599",6.70575109653345
"600",6.63013490671126
"601",6.86869068195734
"602",7.65312496715704
"603",8.00504494616833
"604",8.03420996467183
"605",8.24216907777511
"606",8.83999874252507
"607",8.91331468956946
"608",9.32789740168562
"609",8.67774579673634
"610",8.8317072953751
"611",8.94959973288307
"612",7.5323341619203
"613",4.84621054549405
"614",5.82541951750962
"615",8.73240137468152
"616",9.5053375382994
"617",8.92887924386651
"618",7.15821727476086
"619",7.87770740106821
"620",7.97445064978687
"621",8.70648885508381
"622",8.59754195283402
"623",7.21298458675562
"624",9.09172164643644
"625",10.327271920793
"626",8.71620604993295
"627",9.94446900552605
"628",10.4946337138966
"629",7.24537523625276
"630",5.60551694836057
"631",3.4817484812636
"632",3.60321341687787
"633",3.06741015089469
"634",5.58873641439839
"635",5.09451702637257
"636",6.96262391946598
"637",7.13579297895514
"638",6.55845530037301
"639",6.29229398431606
"640",7.25403080912685
"641",7.6544167379915
"642",8.23923874508415
"643",7.6925783061856
"644",6.78684488385735
"645",5.5910084009256
"646",5.32537539076236
"647",3.8723960048989
"648",5.29053667488129
"649",4.42061927793795
"650",3.65582507991552
"651",4.08977202625768
"652",5.543418259624
"653",4.73499926425914
"654",4.66112208733526
"655",4.59268889542602
"656",3.83954807278246
"657",4.54996511443797
"658",4.06239874949398
"659",3.79510675286022
"660",2.63415777952926
"661",3.45267242785553
"662",1.59558345525954
"663",2.95619632969042
"664",2.60678450276556
"665",4.64287323615946
"666",3.03080192714442
"667",3.64213844153368
"668",2.96792773401772
"669",2.97965913834502
"670",3.73875000658202
"671",5.21132556040434
"672",5.37975841068316
"673",4.82391278259025
"674",3.89071021204129
"675",4.24174183317126
"676",2.84838604086578
"677",2.58077261083293
"678",2.86790450340661
"679",1.04364584637357
"680",2.53168072019993
"681",2.27689693911882
"682",1.36440881533501
"683",-0.532613521905385
"684",2.17011946757193
"685",3.10109272352676
"686",1.82510193854137
"687",2.53434232872822
"688",1.74071329167366
"689",2.16093430872919
"690",1.98440703722021
"691",2.18638485302262
"692",1.96907930340138
"693",2.53982211099236
"694",2.76658071992259
"695",2.51038785197357
"696",2.99353068632872
"697",1.89456470228962
"698",1.77997984572639
"699",2.17987869884234
"700",2.51304946050186
"701",2.1737772129497
"702",0.779701878508698
"703",2.25614264068865
"704",2.42797688007832
"705",2.07740797121325
"706",1.55099084728774
"707",1.2046163174944
"708",0.700839820386106
"709",2.25326746148626
"710",2.13483870004137
"711",0.647169808608231
"712",1.3685579080932
"713",0.899734569915878
"714",1.41867189129497
"715",2.01225979305095
"716",2.21970759667858
"717",1.97712945220835
"718",2.2446419238791
"719",1.98041537129679
"720",0.924089029041973
"721",1.00459404670879
"722",0.881468725571307
"723",-0.0460302594807959
"724",-0.0145724164429237
"725",0.27463678567945
"726",0.177218949175071
"727",0.454589178111149
"728",0.753414525801167
"729",2.24751710308149
"730",2.11001588593208
"731",2.06166512149057
"732",2.58648885902292
"733",2.18655950251089
"734",1.75390207071639
"735",1.50670373218916
"736",1.68447693035977
"737",1.7374897615777
"738",1.98821191942
"739",0.438149773765986
"740",0.140149706779784
"741",0.210585062308394
"742",0.267847930703286
"743",0.617687563343991
"744",1.67937087862773
"745",0.244138580197534
"746",1.2874063191977
"747",1.79416049960366
"748",2.10107068049727
"749",2.61186357619128
"750",2.07454549263929
"751",1.99510508925826
"752",2.22528289777871
"753",1.93685104611538
"754",0.708470159579795
"755",1.80400788508688
"756",2.0233535695758
"757",2.51306352305804
"758",2.40716346403377
"759",2.6271817313874
"760",2.40103620195533
"761",2.33745084009223
"762",1.55434770018884
"763",2.26946605726394
"764",2.16413195410598
"765",2.19311914607948
"766",1.82207520699671
"767",1.89896739696233
"768",1.44426078275864
"769",1.84737728888938
"770",2.57896801312062
"771",2.54107507874104
"772",2.82846637411279
"773",3.81547456440243
"774",2.67876907718776
"775",2.96432032537157
"776",2.94698604905906
"777",2.17474477633813
"778",1.52373104506936
"779",3.57349632149704
"780",2.22780704499503
"781",2.14821272075776
"782",3.24944165598811
"783",2.50843573703355
"784",2.72494222391305
"785",3.41649288260015
"786",3.85509576740246
"787",5.23223437378574
"788",4.9110214633965
"789",3.57574752621295
"790",4.6092838188048
"791",4.75279217407322
"792",3.94562386608108
"793",3.55496048537679
"794",3.11018186594459
"795",3.13085510321143
"796",2.29252493022148
"797",1.02704919311516
"798",2.51217807618167
"799",3.61557411302498
"800",2.48709657508587
"801",2.96199833068263
"802",3.07917201004432
"803",3.5934694567562
"804",2.11057004045376
"805",0.978596293270997
"806",1.18665874554298
"807",1.44659430235401
"808",2.18611856193626
"809",2.17218439466082
"810",4.27599030475709
"811",3.58054868346443
"812",4.75925256071911
"813",4.55548436545292
"814",4.73759126431819
"815",5.52087242840957
"816",6.06098246759118
"817",6.83835699246346
"818",6.87879141241184
"819",6.24764963938296
"820",5.30205171322167
"821",6.17053035722577
"822",5.52646986282919
"823",7.04351244030097
"824",6.1328598767123
"825",4.53935294102275
"826",5.53609060966635
"827",5.59041953298205
"828",6.96865582720973
"829",5.81197967337891
"830",6.18313299498881
"831",5.60004027981921
"832",7.47816097610796
"833",7.06537777402178
"834",7.67246233379955
"835",7.43930070456965
"836",6.65322909534553
"837",5.9724197750456
"838",4.85980869964272
"839",6.30631628292338
"840",6.29669553608622
"841",2.47938126530226
"842",6.21119350659718
"843",7.00801342790719
"844",6.94878409744582
"845",8.15511660789889
"846",8.92929029071234
"847",3.21409506420449
"848",3.19966394394875
"849",2.58549244365324
"850",3.14193946292582
"851",6.28707478924906
"852",6.17491376096864
"853",4.87360883532521
"854",7.20853902696145
"855",7.60054113793884
"856",6.38597722032037
"857",6.73332086295856
"858",7.26576260412177
"859",7.32323563963589
"860",5.98586771284424
