"","IPSL_etp_proj"
"1",4.82739123981446
"2",3.2431631552754
"3",3.04995919577777
"4",3.27162088069599
"5",1.57852427946636
"6",1.45023750519613
"7",1.86205506906845
"8",1.93989180843346
"9",2.28092267207103
"10",4.87560937472153
"11",3.05166940961499
"12",2.99164130410645
"13",2.68050134764053
"14",2.33877362916246
"15",4.6477001887979
"16",7.80871414463036
"17",4.97786168125458
"18",5.41691260877997
"19",5.16907275596168
"20",6.38323981547728
"21",10.3399535873905
"22",5.06273900100496
"23",4.07427796744741
"24",10.7436972029973
"25",9.85223596217111
"26",6.8888024543412
"27",10.9490254544653
"28",2.03103045350872
"29",2.15171803574776
"30",3.49236543115694
"31",1.31728193082381
"32",1.3551921256294
"33",1.52534666995052
"34",2.02837145479862
"35",2.47323005169164
"36",2.60256201727316
"37",4.79295813420322
"38",4.53426328022033
"39",3.6571807868313
"40",8.12986618257128
"41",12.6883664052002
"42",7.87693352322094
"43",9.17222132557072
"44",8.62831584527157
"45",9.48263550526462
"46",8.51189033710398
"47",10.031465353677
"48",8.76514532137662
"49",7.81250346335582
"50",12.9662905237637
"51",6.66932683088817
"52",15.7743139425293
"53",21.907506743446
"54",15.1018859469332
"55",12.9475112771615
"56",8.41032961034216
"57",2.31144604185829
"58",6.99749289196916
"59",6.81906167301349
"60",2.16203570744256
"61",9.21765822567977
"62",11.194189573871
"63",6.72802343615331
"64",15.7026646775194
"65",7.75689768488519
"66",9.6097392088268
"67",8.6471154645551
"68",7.82658607931808
"69",8.28393021947704
"70",12.1119890536647
"71",12.5002930872142
"72",10.0506855233107
"73",2.18047916860087
"74",8.74088000273332
"75",7.33276101527736
"76",5.66555718251038
"77",6.23835221631452
"78",13.7241848278791
"79",12.9278778331354
"80",8.50669312058017
"81",7.53058411646634
"82",5.93158147239592
"83",8.53583769639954
"84",11.6003735456616
"85",10.8937259938102
"86",1.27341509141843
"87",4.84403462905902
"88",4.67452337034047
"89",9.03635882423259
"90",12.0459917525295
"91",10.967662819894
"92",19.7995148482732
"93",18.1297829840332
"94",12.3430989333428
"95",11.2755958980415
"96",12.1400837088004
"97",15.4471010318957
"98",11.0402776044793
"99",15.4002322233282
"100",16.1460397066548
"101",22.6439820835367
"102",14.6023550769314
"103",8.72512609930709
"104",17.5048466189764
"105",20.4495328944176
"106",22.0500282011926
"107",26.1705805314705
"108",30.1489635603502
"109",44.5204932475463
"110",31.0162111418322
"111",22.3264447413385
"112",7.63303032726981
"113",12.0385651825927
"114",22.6679403567687
"115",32.0036488119513
"116",23.1745609198697
"117",22.4231625907123
"118",10.7027932244819
"119",19.9447516934015
"120",21.0116311791353
