"","pr_ds3"
"1",9.18163071474758
"2",1.88102822548456
"3",0.109409453491714
"4",0.103036087268895
"5",0.122864337739886
"6",0.133132538876648
"7",0.0899352789219911
"8",0
"9",0.0761263187725515
"10",0
"11",0.113304288405658
"12",0.0771885464763546
"13",0.0527573092888846
"14",0.0881648994156527
"15",0.0952464174410064
"16",0.14658742312482
"17",4.39939307325094
"18",4.0099095818565
"19",0.0506328538812785
"20",0.0665662694383241
"21",0.0662121935370565
"22",0.0920597343295972
"23",0.288318948175113
"24",0.0853322922055113
"25",0.0637336622281827
"26",0.0495706261774754
"27",0.0892271271194558
"28",0.140214056902002
"29",0.0927678861321326
"30",0.0973708728486124
"31",0.134548842481719
"32",1.91832947159826
"33",0.293998571005685
"34",0.164905714048515
"35",0.128204137446254
"36",0.139264886559264
"37",0.163397430078559
"38",0.111613013776739
"39",0.113624059070013
"40",0.0990439806937725
"41",0
"42",0.108093684513508
"43",0
"44",0
"45",0.0809445730543014
"46",0.124182046859705
"47",0.105579877896915
"48",0.0879832315807624
"49",0.10004950334041
"50",0.0975356967238166
"51",0.0859721862874878
"52",0
"53",0.0769224824677523
"54",0
"55",0.0834583796708946
"56",0.213328231400467
"57",0.162391907431921
"58",0.141275931852538
"59",0.108596445836827
"60",0.139767647882583
"61",0.107487477468063
"62",0.0942520791231149
"63",0
"64",0.125535747938447
"65",0.108289622822302
"66",0.0585566108594671
"67",0.0826209714866454
"68",0.0814177534552865
"69",0.0962574425087131
"70",0.0617651922764242
"71",0.078610244715449
"72",0
"73",0.131551838095241
"74",0.143182945731711
"75",0.232387702157103
"76",0.142781873054591
"77",4.8785536744416
"78",7.03833004073085
"79",0.0978617332171916
"80",0
"81",0.0778080993612097
"82",0.108690695499422
"83",1.12011931153629
"84",2.47103825437211
"85",0.119118585104532
"86",0.746181560274836
"87",27.924637959434
"88",9.21504582950081
"89",0.187392361192744
"90",0.38443078240922
"91",0.133557201480839
"92",0
"93",0.117641810410783
"94",0.123759184552144
"95",6.16476303063679
"96",0.141640739734583
"97",0.119053512135712
"98",0
"99",0
"100",0.0955251500535558
"101",0.100230822469987
"102",1.12279189217783
"103",2.43775975511926
"104",0.262111971079133
"105",0.137405634559795
"106",0.0861138052206932
"107",0
"108",0
"109",0.0884666414289088
"110",0
"111",0.0776435948711168
"112",3.2242436984608
"113",37.2609535754541
"114",0.613493144012455
"115",0.0865843724623363
"116",0.0950545828119127
"117",0.0908194776371245
"118",0
"119",0.36665918104501
"120",0.151052084567445
"121",0.10211309143656
