"","deg4_etp_proj"
"1",1.46627830322649
"2",2.02274786745325
"3",1.24908204642728
"4",0.353573423332964
"5",1.04069470985996
"6",1.75581522272141
"7",1.23056340826166
"8",1.12886791787093
"9",0.76164091512831
"10",1.30883565337044
"11",2.32172524761861
"12",2.16940830086134
"13",2.0823530142115
"14",2.1610120741358
"15",1.6152576032592
"16",2.0725230771224
"17",2.10472386445075
"18",2.37088381712336
"19",1.88682974013787
"20",1.23514740424695
"21",1.32156091556348
"22",0.426745027014813
"23",1.67843734637409
"24",2.05864392223848
"25",3.48778161558647
"26",2.83982066278573
"27",2.36704131646979
"28",4.08204612039306
"29",2.56725846791286
"30",2.61711156160073
"31",2.2434865400931
"32",1.39896460781794
"33",1.19842698003085
"34",0.949602070069056
"35",0.741380881276851
"36",0.555058080063814
"37",-0.112455895006905
"38",-1.00424813514685
"39",0.0910164437597286
"40",2.01715343481811
"41",3.38764185762683
"42",5.04187048300181
"43",3.23209858619045
"44",4.29321124639224
"45",3.51146621610409
"46",4.98887698689546
"47",4.62248738422806
"48",3.94430807867536
"49",3.87483067725065
"50",4.03825709960649
"51",4.30963115000531
"52",4.78841827096515
"53",5.00685583263453
"54",6.42443331479911
"55",5.17378856280796
"56",4.95541115875505
"57",3.08553793462264
"58",4.25172546324604
"59",4.63280037753744
"60",2.93565908872327
"61",3.39693701368639
"62",4.19072997850441
"63",4.6974683754767
"64",4.87666856992076
"65",5.49970735137007
"66",3.71811678479706
"67",4.69183342853262
"68",3.34917742927145
"69",2.28253234247174
"70",4.96709741024411
"71",6.36035275590652
"72",6.13107371807133
"73",5.39605071449424
"74",5.77274978649946
"75",4.2816142294244
"76",5.3072673171528
"77",4.03888645092328
"78",5.79633826734843
"79",5.63501661542205
"80",5.63936629265915
"81",5.0572912354097
"82",5.69153566567017
"83",5.64307914689014
"84",6.75704130082733
"85",5.67103774863997
"86",3.08248060074761
"87",1.24312054542796
"88",3.04202922089399
"89",4.46104489017891
"90",5.47904711191573
"91",5.90865121485721
"92",5.73548985959353
"93",8.01756157751632
"94",6.99759473535448
