"","etp_ds4"
"1",1.49157535640742
"2",2.06568317929271
"3",1.18095547101072
"4",0.0967336812329898
"5",0.748903449113335
"6",1.79638761788452
"7",1.11583968766977
"8",0.950850371772095
"9",0.279013877436745
"10",1.28214891809463
"11",2.36632671072146
"12",2.19365989199068
"13",2.11930470695946
"14",2.18431049742314
"15",1.68686770999164
"16",2.09756278155339
"17",2.13956539495169
"18",2.41511555133528
"19",1.96111295087676
"20",1.12032739706219
"21",1.29112433687947
"22",0.144547584980137
"23",1.77619292561864
"24",2.09257643778403
"25",3.65579520947591
"26",2.92725738691039
"27",2.40899594761835
"28",4.28847423950488
"29",2.64034096656433
"30",2.69828521430759
"31",2.28708384219868
"32",1.40756445942749
"33",1.11447217182909
"34",0.844882608331064
"35",0.64351688854933
"36",0.30682840541171
"37",-1.38132058917198
"38",-1.74287377345302
"39",-0.581228037246417
"40",1.98203948009726
"41",3.52852044992389
"42",5.22348363977674
"43",3.30211331678745
"44",4.381936989117
"45",3.59997252403651
"46",5.16293600211634
"47",4.78847420630391
"48",4.06638414845938
"49",3.93708372400225
"50",4.17347692056042
"51",4.39021229266967
"52",4.86470397520202
"53",5.19603721632703
"54",6.56284151977702
"55",5.45392498339511
"56",5.13017959222034
"57",3.22635980884902
"58",4.35559049143117
"59",4.80088716163292
"60",3.12156300247845
"61",3.24503975415544
"62",4.08968806486259
"63",4.73998826514983
"64",4.8357656045612
"65",5.59152229578122
"66",3.61453187412128
"67",4.72367248951538
"68",3.14639781291512
"69",2.1480218015737
"70",4.86904480493925
"71",6.40656379006993
"72",6.25720594166665
"73",5.50782610321368
"74",5.88445896976763
"75",4.23743746602775
"76",5.42114076091158
"77",3.94101345068436
"78",5.90956782753789
"79",5.69165881188882
"80",5.70193401410135
"81",5.01237453471117
"82",5.82841241224472
"83",5.72098984365914
"84",6.77690698739075
"85",5.75642372280418
"86",2.97915488526676
"87",0.65494150916341
"88",2.96331239167362
"89",4.43957871682704
"90",5.5770035684991
"91",5.97353563185737
"92",5.66875877621827
"93",7.92865816774681
"94",6.97245709043532
"95",6.68168647276892
"96",4.73254275902443
"97",5.27326003977778
"98",5.35170607014614
"99",5.11741859551921
"100",6.77564160352899
"101",6.99031757056383
"102",8.12323233949976
"103",5.30407812313678
"104",6.83807156936381
"105",6.92973202032398
"106",7.97852742990955
"107",8.33965933399819
"108",8.83134784577131
"109",8.72996335563006
"110",9.15353689906994
"111",7.62715034063621
"112",7.12864874018661
"113",5.52610840551866
"114",6.85712274816755
"115",9.33284211134048
"116",10.4166113761319
"117",8.67515619602002
"118",8.73889359569431
"119",6.65166885910756
"120",6.87615057993845
"121",8.41810536436655
"122",7.64243911008189
"123",7.90115374755798
"124",9.18603644058436
"125",9.61807815989926
"126",9.1543782111518
"127",9.34039617363461
"128",9.94633974293343
"129",10.8312297884161
"130",10.9564142904207
"131",8.4445303556529
"132",8.50197038500243
"133",8.09537939915292
"134",4.94072994863809
"135",8.73690932760744
"136",10.9796303253379
"137",12.0398292532238
"138",13.4418956756748
"139",13.4934868643797
"140",13.7878601175783
"141",12.6149192684932
"142",10.2565191201225
"143",10.9331982555035
"144",14.2681133889049
"145",13.5708736474371
"146",11.6346866830999
"147",9.91194561713016
"148",11.4328740919896
"149",9.49415814781394
"150",8.37590648773586
"151",8.03392518907796
"152",8.57232200596367
"153",6.1245294629706
"154",7.29356086590759
"155",8.71087227156358
"156",8.63961702414647
"157",9.97732295807865
"158",9.4819459010841
"159",10.1641294047112
"160",8.48029474437477
"161",8.59953594747434
"162",8.81346869421181
"163",9.15273830779274
"164",8.6822031681106
"165",9.1101521638286
"166",8.79604455949184
"167",6.50968355911681
"168",9.3541874691917
"169",9.13144523581067
"170",10.105081389971
"171",10.822365657916
"172",11.000893453593
"173",11.062017095518
"174",10.7280081232503
"175",11.4703430641153
"176",10.6582457947244
"177",9.10305447316791
"178",8.72033585911116
"179",10.4457705416841
"180",10.8854098514315
"181",11.2599174115867
"182",10.3001982979374
"183",11.2003899122371
"184",11.5792168490589
"185",11.6329209015265
"186",13.405986629773
"187",14.3227934425136
"188",18.1601774614145
"189",13.6108322971688
"190",9.39448198714084
"191",4.2357714138122
"192",2.96040081248214
"193",3.08197970187661
"194",4.66089494758889
"195",6.9088966640747
"196",7.19794846071453
"197",8.72791008738586
"198",7.42419791713735
"199",9.4891603343582
"200",11.1730145331681
"201",11.0796161810505
"202",11.6438710531541
"203",12.1335682752052
"204",11.1319514645647
"205",8.67165636725985
"206",7.21163615024901
"207",7.94722868899594
"208",5.66830889732637
"209",7.17741692641282
"210",8.97332230915695
"211",8.55786067387518
"212",4.34527293008802
"213",5.5369070777954
"214",5.49273811510537
"215",8.31005185007303
"216",9.62355506099565
"217",10.5500637137347
"218",10.8358696369118
"219",11.0710898623571
"220",9.19947401765234
"221",7.34957837052108
"222",5.8160608614638
"223",4.55938276167405
"224",6.84014012213915
"225",7.8865924060942
"226",7.58508256051122
"227",8.14411555818756
"228",6.17274049679512
"229",6.54610996121664
"230",4.77441515720989
"231",8.1801136752293
"232",9.43178254937125
"233",8.26955396840108
"234",7.85338124004924
"235",8.27855349766151
"236",7.12884228850899
"237",5.64451765223391
"238",4.41965951991148
"239",4.01743008499635
"240",3.65015366049916
"241",3.94389692940729
"242",4.66642080608468
"243",4.89331595872283
"244",4.30951347867846
"245",6.00602476445831
"246",6.95730751962645
"247",5.73799349784646
"248",6.66326843294757
"249",6.70391282132268
"250",6.75157325706008
"251",5.84744101115249
"252",7.36588285719129
"253",6.79000067879655
"254",7.02053695375819
"255",6.96531323248822
"256",6.09688960543933
"257",5.56182724294917
"258",4.00843458194814
"259",3.35071817792564
"260",5.09376201075318
"261",5.27540928096517
"262",3.37473531651094
"263",4.84896379379045
"264",4.61020518079549
"265",5.61273705625988
"266",5.99401619516567
"267",6.19241659685162
"268",5.86545386509146
"269",5.20335786520929
"270",2.40232375837822
"271",1.84117037919718
"272",4.68225659655136
"273",4.91917860483098
"274",5.55074240975596
"275",5.70801742195998
"276",5.35884721877746
"277",4.53040520565597
"278",4.71859480452168
"279",4.2806156256881
"280",4.59600650948592
"281",3.3670142510214
"282",4.7970920911558
"283",5.09573858621381
"284",4.9758518211726
"285",5.47313722922618
"286",5.5811729428762
"287",5.24045903829927
"288",5.21316339090149
"289",4.82983427488555
"290",5.63576423767175
"291",6.28764852258332
"292",4.80735550644032
"293",5.75735393971638
"294",4.8555242959658
"295",2.56580671858083
"296",4.73072620336514
"297",3.83157546555608
"298",4.22698770668306
"299",4.32838300863421
"300",3.89205405684919
"301",2.83929840133109
"302",2.10178071281866
"303",5.36976547773657
"304",4.00412677381182
"305",1.14375701003401
"306",3.40148578417061
"307",2.94264237254336
"308",3.45037686917354
"309",4.3430181632169
"310",3.39419196162734
"311",2.8167336973053
"312",4.02289086163152
"313",3.96511234579856
"314",3.09543126960989
"315",2.93698040069479
"316",2.65794493314202
"317",2.14518444114589
"318",2.77636228737392
"319",2.92800338833384
"320",3.41764660666845
"321",3.55723034788866
"322",3.17737951112545
"323",2.19914919355753
"324",1.90224771120797
"325",1.93742967876962
"326",2.0216457474625
"327",1.79841800206261
"328",1.73303102820412
"329",2.52194959659549
"330",2.60625481819952
"331",1.50451985840733
"332",1.14840969894182
"333",1.61735958363556
"334",1.33704797216873
"335",-0.459234599271769
"336",2.10398742041774
"337",1.63594976734788
"338",1.89589766957639
"339",2.43173394127732
"340",2.39793789765065
"341",2.38261702453989
"342",2.21172169726767
"343",2.35723244066029
"344",2.60283848215294
"345",3.13266388609456
"346",2.55690219740011
"347",1.90834587897888
