"","deg3_etp_proj"
"1",1.54712108138216
"2",2.07221649914068
"3",1.20447156459749
"4",0.290939007149249
"5",0.994690675075877
"6",1.75167287080264
"7",1.25110258488549
"8",1.14923526438865
"9",0.753617986210216
"10",1.43726371770383
"11",2.44970988252079
"12",2.2822195862073
"13",2.23286145662399
"14",2.2323731183002
"15",1.64936795703835
"16",2.1917052456957
"17",2.05340514011825
"18",2.2973315355615
"19",1.86817390905047
"20",1.20869136703787
"21",1.24074484565731
"22",0.145114391218343
"23",1.71278226859297
"24",2.11821685657285
"25",3.56912225666005
"26",2.83001190165476
"27",2.36245653441898
"28",4.07843210920691
"29",2.61104128651834
"30",2.62013498959322
"31",2.19662586827667
"32",1.38434908699662
"33",1.18572302502865
"34",0.906881737199669
"35",0.707236763233929
"36",0.534464731648545
"37",-0.155359649734051
"38",-1.15148320725444
"39",0.0971981004279639
"40",2.04889746076322
"41",3.40503137625341
"42",5.03479993297737
"43",3.2200807028127
"44",4.35759824008814
"45",3.57168315829381
"46",5.0866182344848
"47",4.59075547146554
"48",3.97444438759466
"49",3.9225542866907
"50",4.06127449107589
"51",4.31250317174435
"52",4.84231193873043
"53",5.06746656254495
"54",6.45472003286704
"55",5.20720277183062
"56",4.91122142240709
"57",3.0460587224771
"58",4.27752289929212
"59",4.69346376538885
"60",2.92667672524647
"61",3.30977375195623
"62",4.27930140451823
"63",4.74392970683699
"64",4.91183811914869
"65",5.50264713705437
"66",3.74564840577778
"67",4.67956107216222
"68",3.40077481493449
"69",2.27853385582733
"70",5.01319466989632
"71",6.47590981807788
"72",6.21635262646275
"73",5.40886981467234
"74",5.82457569647908
"75",4.31721211324579
"76",5.32942706608506
"77",4.14130243088822
"78",5.9071908818976
"79",5.60885511574392
"80",5.62641768822713
"81",5.06249658616583
"82",5.74920788558784
"83",5.63445657240144
"84",6.74037112344451
"85",5.6865073892535
"86",3.06162446136681
"87",1.24484138525025
"88",3.16795337759196
"89",4.42306177335677
"90",5.56789618599756
"91",5.94368749692364
"92",5.7374097372688
"93",8.00013400321085
"94",6.93366226066279
"95",6.69994869248523
"96",4.92804680036723
"97",5.26169965166613
"98",5.31086408013801
"99",5.21203409662952
"100",6.69935173061154
"101",6.98717444195983
"102",8.25336619905298
"103",5.19859156795131
"104",6.85805219696889
"105",6.94681517259522
"106",8.17970151201423
"107",8.35938846390179
"108",8.9155167212528
"109",8.75866715840066
"110",9.3006685785973
"111",7.68688584816623
"112",7.11168026396374
"113",5.2780328320116
"114",6.84298661599834
"115",9.39727342530268
"116",10.6970621082286
"117",8.45503505498969
"118",8.78984003050528
"119",6.53178569362071
"120",6.7921403597052
"121",8.39963182021343
"122",7.82284781536591
"123",7.95851357587808
"124",9.11682367864497
"125",9.53526546258232
"126",9.23020646181338
"127",9.23956377717562
"128",9.89277226074684
"129",10.7339918864463
"130",10.9992504240541
"131",8.42992706568342
"132",8.43682975243131
"133",8.24231835992455
"134",5.21271165221815
"135",8.71880328125908
"136",11.0493884973209
"137",11.8966534700953
"138",13.1855960544626
"139",13.3753405865092
"140",13.8193967114868
"141",12.2695508404084
"142",10.4215368630569
"143",11.0291115825007
"144",14.34604859469
"145",13.6640315868949
"146",11.7598011511193
"147",9.71170687482084
"148",11.4976517243586
"149",9.37227265743957
"150",8.54752983092818
"151",8.14952396974086
"152",8.59879983332702
"153",6.41201312178556
"154",7.67815497145057
"155",8.85043333240248
"156",8.76628970482674
"157",10.0545102422332
"158",9.50998638260501
"159",10.2563543770348
"160",8.60697397167559
"161",8.68124542298711
"162",8.98396230870929
